VehicleKey,VehicleID,Make,Model,Year,FuelType,Transmission,Engine,NumberOfDoors,Drivetrain,MaxPower,Price
111,Volvo_240_1993,Volvo,240,1993,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,114,2000
113,Mazda_2_2012,Mazda,2,2012,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,100,16020
117,Mazda_2_2013,Mazda,2,2013,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,100,17050
121,Mazda_2_2014,Mazda,2,2014,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,100,17050
125,BMW_3 Series Gran Turismo_2015,BMW,3 Series Gran Turismo,2015,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,300,47250
128,BMW_3 Series Gran Turismo_2016,BMW,3 Series Gran Turismo,2016,premium unleaded (required),AUTOMATIC,4-cylinder,4,all wheel drive,240,43000
130,BMW_3 Series Gran Turismo_2017,BMW,3 Series Gran Turismo,2017,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,320,49650
132,BMW_3 Series_2015,BMW,3 Series,2015,premium unleaded (required),AUTOMATIC,4-cylinder,4,all wheel drive,241,41950
145,BMW_3 Series_2016,BMW,3 Series,2016,diesel,AUTOMATIC,4-cylinder,4,all wheel drive,180,41850
156,BMW_3 Series_2017,BMW,3 Series,2017,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,rear wheel drive,248,38750
166,Mercedes-Benz_300-Class_1991,Mercedes-Benz,300-Class,1991,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,177,2232
176,Mercedes-Benz_300-Class_1992,Mercedes-Benz,300-Class,1992,diesel,AUTOMATIC,5-cylinder,4,rear wheel drive,121,2000
186,Mercedes-Benz_300-Class_1993,Mercedes-Benz,300-Class,1993,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,177,2544
195,Mitsubishi_3000GT_1997,Mitsubishi,3000GT,1997,regular unleaded,MANUAL,6-cylinder,2,front wheel drive,218,3941
198,Mitsubishi_3000GT_1998,Mitsubishi,3000GT,1998,regular unleaded,MANUAL,6-cylinder,2,all wheel drive,320,6710
201,Mitsubishi_3000GT_1999,Mitsubishi,3000GT,1999,regular unleaded,MANUAL,6-cylinder,2,front wheel drive,218,5306
204,Chrysler_300_2015,Chrysler,300,2015,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,300,37570
212,Chrysler_300_2016,Chrysler,300,2016,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,300,38095
224,Chrysler_300_2017,Chrysler,300,2017,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,292,41135
234,Chrysler_300M_2002,Chrysler,300M,2002,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,250,32065
236,Chrysler_300M_2003,Chrysler,300M,2003,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,255,32315
238,Chrysler_300M_2004,Chrysler,300M,2004,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,250,29185
240,Nissan_300ZX_1994,Nissan,300ZX,1994,regular unleaded,MANUAL,6-cylinder,2,rear wheel drive,222,2847
244,Nissan_300ZX_1995,Nissan,300ZX,1995,regular unleaded,MANUAL,6-cylinder,2,rear wheel drive,300,3049
248,Nissan_300ZX_1996,Nissan,300ZX,1996,regular unleaded,MANUAL,6-cylinder,2,rear wheel drive,300,3510
252,Mazda_323_1992,Mazda,323,1992,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,82,2000
254,Mazda_323_1993,Mazda,323,1993,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,82,2000
256,Mazda_323_1994,Mazda,323,1994,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,82,2000
257,Mercedes-Benz_350-Class_1990,Mercedes-Benz,350-Class,1990,diesel,AUTOMATIC,6-cylinder,4,rear wheel drive,134,2144
259,Mercedes-Benz_350-Class_1991,Mercedes-Benz,350-Class,1991,diesel,AUTOMATIC,6-cylinder,4,rear wheel drive,134,2178
261,Nissan_350Z_2007,Nissan,350Z,2007,regular unleaded,AUTOMATIC,6-cylinder,2,rear wheel drive,306,36550
275,Nissan_350Z_2008,Nissan,350Z,2008,regular unleaded,AUTOMATIC,6-cylinder,2,rear wheel drive,306,33840
289,Nissan_350Z_2009,Nissan,350Z,2009,regular unleaded,MANUAL,6-cylinder,2,rear wheel drive,306,41570
295,Ferrari_360_2002,Ferrari,360,2002,premium unleaded (required),MANUAL,8-cylinder,2,rear wheel drive,400,160829
299,Ferrari_360_2003,Ferrari,360,2003,premium unleaded (required),MANUAL,8-cylinder,2,rear wheel drive,400,165986
303,Ferrari_360_2004,Ferrari,360,2004,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,400,157767
308,Nissan_370Z_2015,Nissan,370Z,2015,premium unleaded (required),AUTOMATIC,6-cylinder,2,rear wheel drive,350,46790
325,Nissan_370Z_2016,Nissan,370Z,2016,premium unleaded (required),AUTOMATIC,6-cylinder,2,rear wheel drive,332,41820
342,Nissan_370Z_2017,Nissan,370Z,2017,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,332,37970
359,Mazda_3_2015,Mazda,3,2015,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,184,25045
381,Mazda_3_2016,Mazda,3,2016,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,155,22545
399,Mazda_3_2017,Mazda,3,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,155,21495
412,BMW_4 Series Gran Coupe_2015,BMW,4 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,4-cylinder,4,all wheel drive,240,42300
418,BMW_4 Series Gran Coupe_2016,BMW,4 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,4-cylinder,4,all wheel drive,240,43650
422,BMW_4 Series Gran Coupe_2017,BMW,4 Series Gran Coupe,2017,premium unleaded (recommended),AUTOMATIC,6-cylinder,4,rear wheel drive,320,48300
426,BMW_4 Series_2015,BMW,4 Series,2015,premium unleaded (required),AUTOMATIC,6-cylinder,2,all wheel drive,300,56900
438,BMW_4 Series_2016,BMW,4 Series,2016,premium unleaded (required),AUTOMATIC,4-cylinder,2,all wheel drive,240,52000
447,BMW_4 Series_2017,BMW,4 Series,2017,premium unleaded (recommended),AUTOMATIC,4-cylinder,2,rear wheel drive,248,50300
455,Mercedes-Benz_400-Class_1992,Mercedes-Benz,400-Class,1992,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,268,2168
457,Mercedes-Benz_400-Class_1993,Mercedes-Benz,400-Class,1993,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,275,2278
459,Mercedes-Benz_420-Class_1990,Mercedes-Benz,420-Class,1990,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,201,2000
460,Mercedes-Benz_420-Class_1991,Mercedes-Benz,420-Class,1991,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,201,2186
461,Ferrari_456M_2001,Ferrari,456M,2001,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,442,223970
463,Ferrari_456M_2002,Ferrari,456M,2002,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,442,228625
465,Ferrari_456M_2003,Ferrari,456M,2003,premium unleaded (required),AUTOMATIC,12-cylinder,2,rear wheel drive,442,228625
467,Ferrari_458 Italia_2013,Ferrari,458 Italia,2013,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,562,257412
469,Ferrari_458 Italia_2014,Ferrari,458 Italia,2014,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,562,233509
472,Ferrari_458 Italia_2015,Ferrari,458 Italia,2015,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,562,239340
475,Alfa Romeo_4C_2015,Alfa Romeo,4C,2015,premium unleaded (required),AUTOMATED_MANUAL,4-cylinder,2,rear wheel drive,237,63900
478,Alfa Romeo_4C_2016,Alfa Romeo,4C,2016,premium unleaded (required),AUTOMATED_MANUAL,4-cylinder,2,rear wheel drive,237,55900
480,Toyota_4Runner_2014,Toyota,4Runner,2014,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,270,41365
488,Toyota_4Runner_2015,Toyota,4Runner,2015,regular unleaded,AUTOMATIC,6-cylinder,4,four wheel drive,270,37825
497,Toyota_4Runner_2016,Toyota,4Runner,2016,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,270,36690
506,BMW_5 Series Gran Turismo_2015,BMW,5 Series Gran Turismo,2015,premium unleaded (required),AUTOMATIC,6-cylinder,4,rear wheel drive,300,60700
510,BMW_5 Series Gran Turismo_2016,BMW,5 Series Gran Turismo,2016,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,300,63200
513,BMW_5 Series Gran Turismo_2017,BMW,5 Series Gran Turismo,2017,premium unleaded (required),AUTOMATIC,6-cylinder,4,all wheel drive,300,63200
516,BMW_5 Series_2015,BMW,5 Series,2015,premium unleaded (required),AUTOMATIC,8-cylinder,4,all wheel drive,443,67200
524,BMW_5 Series_2016,BMW,5 Series,2016,diesel,AUTOMATIC,6-cylinder,4,rear wheel drive,255,57350
532,Mercedes-Benz_500-Class_1991,Mercedes-Benz,500-Class,1991,regular unleaded,AUTOMATIC,8-cylinder,2,rear wheel drive,322,4155
533,Mercedes-Benz_500-Class_1992,Mercedes-Benz,500-Class,1992,regular unleaded,AUTOMATIC,8-cylinder,4,rear wheel drive,322,2427
536,Mercedes-Benz_500-Class_1993,Mercedes-Benz,500-Class,1993,regular unleaded,AUTOMATIC,8-cylinder,2,rear wheel drive,315,3176
540,FIAT_500e_2015,FIAT,500e,2015,electric,DIRECT_DRIVE,0-cylinder,2,front wheel drive,,31800
541,FIAT_500e_2016,FIAT,500e,2016,electric,DIRECT_DRIVE,0-cylinder,2,front wheel drive,,31800
542,FIAT_500e_2017,FIAT,500e,2017,electric,DIRECT_DRIVE,0-cylinder,2,front wheel drive,,31800
543,FIAT_500_2015,FIAT,500,2015,premium unleaded (recommended),MANUAL,4-cylinder,2,front wheel drive,160,26595
554,FIAT_500_2016,FIAT,500,2016,premium unleaded (recommended),MANUAL,4-cylinder,2,front wheel drive,160,26695
565,FIAT_500_2017,FIAT,500,2017,premium unleaded (recommended),MANUAL,4-cylinder,2,front wheel drive,160,19995
571,FIAT_500L_2015,FIAT,500L,2015,premium unleaded (recommended),MANUAL,4-cylinder,4,front wheel drive,160,19345
576,FIAT_500L_2016,FIAT,500L,2016,premium unleaded (recommended),MANUAL,4-cylinder,4,front wheel drive,160,21880
581,FIAT_500L_2017,FIAT,500L,2017,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,160,23695
584,FIAT_500X_2016,FIAT,500X,2016,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,180,24635
593,FIAT_500X_2017,FIAT,500X,2017,regular unleaded,AUTOMATIC,4-cylinder,4,all wheel drive,180,27035
599,Ferrari_550_2001,Ferrari,550,2001,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,485,248500
601,Mercedes-Benz_560-Class_1990,Mercedes-Benz,560-Class,1990,regular unleaded,AUTOMATIC,8-cylinder,2,rear wheel drive,238,2323
603,Mercedes-Benz_560-Class_1991,Mercedes-Benz,560-Class,1991,regular unleaded,AUTOMATIC,8-cylinder,2,rear wheel drive,238,2443
605,McLaren_570S_2016,McLaren,570S,2016,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,562,184900
606,Ferrari_575M_2002,Ferrari,575M,2002,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,515,214670
608,Ferrari_575M_2003,Ferrari,575M,2003,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,515,217890
610,Ferrari_575M_2004,Ferrari,575M,2004,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,515,228339
612,Maybach_57_2010,Maybach,57,2010,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,543,366000
615,Maybach_57_2011,Maybach,57,2011,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,543,372500
617,Maybach_57_2012,Maybach,57,2012,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,543,379050
619,Ferrari_599_2009,Ferrari,599,2009,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,611,320580
621,Ferrari_599_2010,Ferrari,599,2010,premium unleaded (required),MANUAL,12-cylinder,2,rear wheel drive,611,310543
622,Ferrari_599_2011,Ferrari,599,2011,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,611,320580
624,Mazda_5_2013,Mazda,5,2013,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,157,24470
628,Mazda_5_2014,Mazda,5,2014,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,157,20140
632,Mazda_5_2015,Mazda,5,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,157,24770
635,BMW_6 Series Gran Coupe_2015,BMW,6 Series Gran Coupe,2015,premium unleaded (required),AUTOMATIC,8-cylinder,4,all wheel drive,445,92600
639,BMW_6 Series Gran Coupe_2016,BMW,6 Series Gran Coupe,2016,premium unleaded (required),AUTOMATIC,8-cylinder,4,all wheel drive,445,93900
643,BMW_6 Series Gran Coupe_2017,BMW,6 Series Gran Coupe,2017,premium unleaded (required),AUTOMATIC,8-cylinder,4,rear wheel drive,445,91200
647,BMW_6 Series_2015,BMW,6 Series,2015,premium unleaded (required),AUTOMATIC,8-cylinder,2,rear wheel drive,445,94900
655,BMW_6 Series_2016,BMW,6 Series,2016,premium unleaded (required),AUTOMATIC,6-cylinder,2,all wheel drive,315,87800
663,BMW_6 Series_2017,BMW,6 Series,2017,premium unleaded (required),AUTOMATIC,8-cylinder,2,all wheel drive,445,92000
671,Mercedes-Benz_600-Class_1992,Mercedes-Benz,600-Class,1992,regular unleaded,AUTOMATIC,12-cylinder,4,rear wheel drive,402,2960
672,Mercedes-Benz_600-Class_1993,Mercedes-Benz,600-Class,1993,regular unleaded,AUTOMATIC,12-cylinder,4,rear wheel drive,389,3108
675,Pontiac_6000_1990,Pontiac,6000,1990,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,140,2000
680,Pontiac_6000_1991,Pontiac,6000,1991,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,140,2000
683,Ferrari_612 Scaglietti_2009,Ferrari,612 Scaglietti,2009,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,532,313088
684,Ferrari_612 Scaglietti_2010,Ferrari,612 Scaglietti,2010,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,532,313088
685,Ferrari_612 Scaglietti_2011,Ferrari,612 Scaglietti,2011,premium unleaded (required),AUTOMATED_MANUAL,12-cylinder,2,rear wheel drive,532,313088
686,Mazda_626_2000,Mazda,626,2000,regular unleaded,MANUAL,6-cylinder,4,front wheel drive,170,2080
690,Mazda_626_2001,Mazda,626,2001,premium unleaded (required),MANUAL,6-cylinder,4,front wheel drive,165,22935
694,Mazda_626_2002,Mazda,626,2002,premium unleaded (required),MANUAL,6-cylinder,4,front wheel drive,165,19985
697,Maybach_62_2010,Maybach,62,2010,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,604,456500
700,Maybach_62_2011,Maybach,62,2011,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,543,423500
702,Maybach_62_2012,Maybach,62,2012,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,620,470350
704,McLaren_650S Coupe_2015,McLaren,650S Coupe,2015,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,641,265500
705,McLaren_650S Spider_2015,McLaren,650S Spider,2015,premium unleaded (required),AUTOMATED_MANUAL,8-cylinder,2,rear wheel drive,641,280225
706,Mazda_6_2015,Mazda,6,2015,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,184,24895
711,Mazda_6_2016,Mazda,6,2016,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,184,22995
716,Mazda_6_2017,Mazda,6,2017,regular unleaded,AUTOMATIC,4-cylinder,4,front wheel drive,184,30695
721,BMW_7 Series_2015,BMW,7 Series,2015,premium unleaded (required),AUTOMATIC,12-cylinder,4,rear wheel drive,535,141200
730,BMW_7 Series_2016,BMW,7 Series,2016,premium unleaded (required),AUTOMATIC,8-cylinder,4,rear wheel drive,445,94400
733,BMW_7 Series_2017,BMW,7 Series,2017,premium unleaded (required),AUTOMATIC,8-cylinder,4,rear wheel drive,445,94600
737,Porsche_718 Cayman_2017,Porsche,718 Cayman,2017,premium unleaded (required),MANUAL,4-cylinder,2,rear wheel drive,300,53900
739,Volvo_740_1990,Volvo,740,1990,regular unleaded,MANUAL,4-cylinder,4,rear wheel drive,114,2000
745,Volvo_740_1991,Volvo,740,1991,regular unleaded,AUTOMATIC,4-cylinder,4,rear wheel drive,162,2000
751,Volvo_740_1992,Volvo,740,1992,regular unleaded,AUTOMATIC,4-cylinder,4,rear wheel drive,162,2000
755,Volvo_760_1990,Volvo,760,1990,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,144,2000
758,Volvo_780_1990,Volvo,780,1990,regular unleaded,AUTOMATIC,4-cylinder,2,rear wheel drive,188,2000
760,BMW_8 Series_1995,BMW,8 Series,1995,regular unleaded,AUTOMATIC,8-cylinder,2,rear wheel drive,282,4784
763,BMW_8 Series_1996,BMW,8 Series,1996,regular unleaded,AUTOMATIC,12-cylinder,2,rear wheel drive,322,6954
765,BMW_8 Series_1997,BMW,8 Series,1997,regular unleaded,AUTOMATIC,12-cylinder,2,rear wheel drive,322,7624
767,Audi_80_1990,Audi,80,1990,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,108,2000
769,Audi_80_1991,Audi,80,1991,regular unleaded,MANUAL,5-cylinder,4,front wheel drive,130,2000
771,Audi_80_1992,Audi,80,1992,regular unleaded,MANUAL,5-cylinder,4,front wheel drive,130,2000
773,Volvo_850_1995,Volvo,850,1995,regular unleaded,AUTOMATIC,5-cylinder,4,front wheel drive,222,2000
781,Volvo_850_1996,Volvo,850,1996,regular unleaded,AUTOMATIC,5-cylinder,4,front wheel drive,222,2000
791,Volvo_850_1997,Volvo,850,1997,regular unleaded,MANUAL,5-cylinder,4,front wheel drive,168,2000
799,Toyota_86_2017,Toyota,86,2017,premium unleaded (recommended),MANUAL,4-cylinder,2,rear wheel drive,205,26255
801,Saab_9-2X_2005,Saab,9-2X,2005,premium unleaded (required),MANUAL,4-cylinder,4,all wheel drive,227,26950
803,Saab_9-2X_2006,Saab,9-2X,2006,premium unleaded (required),MANUAL,4-cylinder,4,all wheel drive,230,26950
805,Saab_9-3 Griffin_2012,Saab,9-3 Griffin,2012,flex-fuel (premium unleaded recommended/E85),MANUAL,4-cylinder,4,front wheel drive,220,28900
823,Saab_9-3_2009,Saab,9-3,2009,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,210,37810
837,Saab_9-3_2010,Saab,9-3,2010,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,all wheel drive,207,32395
846,Saab_9-3_2011,Saab,9-3,2011,premium unleaded (recommended),MANUAL,4-cylinder,4,front wheel drive,210,28900
855,Saab_9-4X_2011,Saab,9-4X,2011,premium unleaded (required),AUTOMATIC,6-cylinder,4,front wheel drive,265,37250
860,Saab_9-5_2009,Saab,9-5,2009,premium unleaded (recommended),AUTOMATIC,4-cylinder,4,front wheel drive,260,39400
866,Saab_9-5_2010,Saab,9-5,2010,premium unleaded (recommended),AUTOMATIC,6-cylinder,4,all wheel drive,300,49165
867,Saab_9-5_2011,Saab,9-5,2011,premium unleaded (recommended),MANUAL,4-cylinder,4,front wheel drive,220,38525
871,Saab_9-7X_2007,Saab,9-7X,2007,regular unleaded,AUTOMATIC,6-cylinder,4,all wheel drive,290,39190
873,Saab_9-7X_2008,Saab,9-7X,2008,regular unleaded,AUTOMATIC,8-cylinder,4,all wheel drive,300,42770
876,Saab_9-7X_2009,Saab,9-7X,2009,regular unleaded,AUTOMATIC,8-cylinder,4,all wheel drive,390,49105
879,Saab_9000_1996,Saab,9000,1996,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,225,2000
883,Saab_9000_1997,Saab,9000,1997,regular unleaded,AUTOMATIC,6-cylinder,4,front wheel drive,210,2122
888,Saab_9000_1998,Saab,9000,1998,regular unleaded,MANUAL,4-cylinder,4,front wheel drive,225,2172
889,Saab_900_1996,Saab,900,1996,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,185,2000
897,Saab_900_1997,Saab,900,1997,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,185,2000
908,Saab_900_1998,Saab,900,1998,regular unleaded,MANUAL,4-cylinder,2,front wheel drive,185,2000
912,Audi_90_1993,Audi,90,1993,regular unleaded,MANUAL,6-cylinder,4,all wheel drive,172,2000
915,Audi_90_1994,Audi,90,1994,regular unleaded,MANUAL,6-cylinder,4,all wheel drive,172,2000
918,Audi_90_1995,Audi,90,1995,regular unleaded,MANUAL,6-cylinder,4,all wheel drive,172,2000
921,Porsche_911_2015,Porsche,911,2015,premium unleaded (required),MANUAL,6-cylinder,2,rear wheel drive,350,96200
940,Porsche_911_2016,Porsche,911,2016,premium unleaded (required),MANUAL,6-cylinder,2,all wheel drive,350,102930
965,Porsche_911_2017,Porsche,911,2017,premium unleaded (required),AUTOMATED_MANUAL,6-cylinder,2,all wheel drive,540,159200
979,Porsche_928_1993,Porsche,928,1993,regular unleaded,MANUAL,8-cylinder,2,rear wheel drive,345,6294
980,Porsche_928_1994,Porsche,928,1994,regular unleaded,MANUAL,8-cylinder,2,rear wheel drive,345,7419
981,Porsche_928_1995,Porsche,928,1995,regular unleaded,MANUAL,8-cylinder,2,rear wheel drive,345,9400
982,Mazda_929_1993,Mazda,929,1993,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,195,2000
983,Mazda_929_1994,Mazda,929,1994,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,193,2000
984,Mazda_929_1995,Mazda,929,1995,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,193,2000
985,Volvo_940_1993,Volvo,940,1993,regular unleaded,AUTOMATIC,4-cylinder,4,rear wheel drive,114,2000
991,Volvo_940_1994,Volvo,940,1994,regular unleaded,AUTOMATIC,4-cylinder,4,rear wheel drive,114,2000
995,Volvo_940_1995,Volvo,940,1995,regular unleaded,AUTOMATIC,4-cylinder,4,rear wheel drive,162,2000
999,Porsche_944_1990,Porsche,944,1990,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,208,2667
1001,Porsche_944_1991,Porsche,944,1991,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,208,3578
1003,Volvo_960_1995,Volvo,960,1995,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,181,2000
1005,Volvo_960_1996,Volvo,960,1996,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,181,2000
1007,Volvo_960_1997,Volvo,960,1997,regular unleaded,AUTOMATIC,6-cylinder,4,rear wheel drive,181,2000
1009,Porsche_968_1993,Porsche,968,1993,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,236,4651
1011,Porsche_968_1994,Porsche,968,1994,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,236,4191
1013,Porsche_968_1995,Porsche,968,1995,regular unleaded,MANUAL,4-cylinder,2,rear wheel drive,236,4723
1015,Audi_A3_2015,Audi,A3,2015,diesel,AUTOMATED_MANUAL,4-cylinder,4,front wheel drive,150,35150
1030,Audi_A3_2016,Audi,A3,2016,premium unleaded (recommended),AUTOMATED_MANUAL,4-cylinder,4,all wheel drive,220,34200
1050,Audi_A3_2017,Audi,A3,2017,premium unleaded (recommended),AUTOMATED_MANUAL,4-cylinder,4,all wheel drive,220,43150
1062,Audi_A4 allroad_2017,Audi,A4 allroad,2017,premium unleaded (recommended),AUTOMATED_MANUAL,4-cylinder,4,all wheel drive,252,51400
1065,Audi_A4_2015,Audi,A4,2015,premium unleaded (required),AUTOMATIC,4-cylinder,4,all wheel drive,220,45000
